key;fare_amount;pickup_datetime;pickup_Datum;pickup_Stunde;pickup_Zeitzone;Startlongitude;Startlatitude;Distance_km;passenger_count
2010-01-05 16:52:16.0000002;16,9;2010-01-05 16:52:16 UTC;2010-01-05;16:52:16;UTC;-74,016000;40,711000;4,421256;1
2011-01-06 09:50:45.0000002;12,1;2011-01-06 09:50:45 UTC;2011-01-06;09:50:45;UTC;-74,000000;40,731000;3,374483;1
2012-01-04 17:22:00.00000081;16,5;2012-01-04 17:22:00 UTC;2012-01-04;17:22:00;UTC;-73,951000;40,774000;4,663475;1
2011-10-15 10:55:24.0000004;10,9;2011-10-15 10:55:24 UTC;2011-10-15;10:55:24;UTC;-74,003000;40,725000;3,295507;2
2013-11-22 08:38:09.0000003;17,5;2013-11-22 08:38:09 UTC;2013-11-22;08:38:09;UTC;-73,978000;40,762000;3,610091;1
2009-06-10 21:28:00.00000022;12,1;2009-06-10 21:28:00 UTC;2009-06-10;21:28:00;UTC;-73,988000;40,737000;3,590618;1
2013-11-10 01:12:19.0000002;25,5;2013-11-10 01:12:19 UTC;2013-11-10;01:12:19;UTC;-73,974000;40,751000;4,756637;4
2012-07-19 23:53:14.0000002;13,7;2012-07-19 23:53:14 UTC;2012-07-19;23:53:14;UTC;-74,002000;40,739000;3,629685;2
2014-04-29 18:28:00.0000005;16,5;2014-04-29 18:28:00 UTC;2014-04-29;18:28:00;UTC;-73,970000;40,750000;3,374123;6
2015-04-12 10:19:05.0000001;11,5;2015-04-12 10:19:05 UTC;2015-04-12;10:19:05;UTC;-73,979000;40,723000;3,044823;6
2014-12-08 16:00:01.0000001;16,5;2014-12-08 16:00:01 UTC;2014-12-08;16:00:01;UTC;-73,982000;40,745000;3,780546;1
2013-07-08 21:24:00.00000048;17;2013-07-08 21:24:00 UTC;2013-07-08;21:24:00;UTC;-74,009000;40,705000;4,667803;1
2013-07-06 17:18:00.000000119;13,5;2013-07-06 17:18:00 UTC;2013-07-06;17:18:00;UTC;-73,950000;40,783000;4,052217;1
2015-05-17 08:02:59.0000002;14;2015-05-17 08:02:59 UTC;2015-05-17;08:02:59;UTC;-73,979000;40,723000;4,598417;1
2011-03-09 07:24:34.0000004;14,1;2011-03-09 07:24:34 UTC;2011-03-09;07:24:34;UTC;-73,974000;40,751000;4,338673;1
2010-03-22 10:01:00.00000076;11,3;2010-03-22 10:01:00 UTC;2010-03-22;10:01:00;UTC;-74,007000;40,732000;3,967710;1
2012-11-08 21:00:00.00000040;11,5;2012-11-08 21:00:00 UTC;2012-11-08;21:00:00;UTC;-73,972000;40,750000;4,085875;5
2010-06-17 16:12:58.0000001;10,5;2010-06-17 16:12:58 UTC;2010-06-17;16:12:58;UTC;-73,966000;40,757000;3,229152;1
2012-12-21 06:47:00.00000093;11,5;2012-12-21 06:47:00 UTC;2012-12-21;06:47:00;UTC;-73,947000;40,771000;4,130352;1
2009-07-23 17:05:10.0000002;10,9;2009-07-23 17:05:10 UTC;2009-07-23;17:05:10;UTC;-73,983000;40,746000;3,524984;1
2009-02-27 13:31:21.0000003;16,5;2009-02-27 13:31:21 UTC;2009-02-27;13:31:21;UTC;-73,974000;40,762000;3,410426;2
2011-08-31 13:47:02.0000003;11,3;2011-08-31 13:47:02 UTC;2011-08-31;13:47:02;UTC;-73,981000;40,729000;3,155825;2
2009-09-07 18:52:00.000000158;8,1;2009-09-07 18:52:00 UTC;2009-09-07;18:52:00;UTC;-73,952000;40,788000;3,434227;1
2013-06-06 15:23:56.0000002;17;2013-06-06 15:23:56 UTC;2013-06-06;15:23:56;UTC;-73,954000;40,764000;4,824073;2
2013-05-02 07:41:00.00000089;27;2013-05-02 07:41:00 UTC;2013-05-02;07:41:00;UTC;-73,987000;40,718000;3,364626;1
2010-02-10 08:57:54.0000001;10,5;2010-02-10 08:57:54 UTC;2010-02-10;08:57:54;UTC;-73,954000;40,766000;3,609250;1
2014-07-20 23:51:54.0000003;12;2014-07-20 23:51:54 UTC;2014-07-20;23:51:54;UTC;-73,984000;40,768000;4,860376;1
2013-09-03 08:08:00.00000011;9;2013-09-03 08:08:00 UTC;2013-09-03;08:08:00;UTC;-73,980000;40,779000;3,261608;1
2013-01-20 14:33:27.0000001;13;2013-01-20 14:33:27 UTC;2013-01-20;14:33:27;UTC;-74,008000;40,738000;3,318106;2
2010-05-28 21:33:07.0000001;16,1;2010-05-28 21:33:07 UTC;2010-05-28;21:33:07;UTC;-73,789000;40,647000;3,139356;1
2011-05-02 08:20:11.0000002;12,9;2011-05-02 08:20:11 UTC;2011-05-02;08:20:11;UTC;-73,978000;40,764000;3,637018;2
2012-06-24 17:33:00.0000002;11,7;2012-06-24 17:33:00 UTC;2012-06-24;17:33:00;UTC;-73,954000;40,769000;3,584367;1
2010-06-30 02:22:05.0000001;8,9;2010-06-30 02:22:05 UTC;2010-06-30;02:22:05;UTC;-73,993000;40,719000;4,373533;1
2012-01-08 19:03:15.0000002;9,7;2012-01-08 19:03:15 UTC;2012-01-08;19:03:15;UTC;-73,962000;40,766000;3,119281;1
2014-05-09 09:42:16.0000001;19;2014-05-09 09:42:16 UTC;2014-05-09;09:42:16;UTC;-73,968000;40,799000;3,940063;2
2009-07-31 13:53:52.0000001;16,9;2009-07-31 13:53:52 UTC;2009-07-31;13:53:52;UTC;-73,990000;40,756000;4,862780;1
2010-06-30 06:15:00.00000017;10,9;2010-06-30 06:15:00 UTC;2010-06-30;06:15:00;UTC;-73,953000;40,781000;4,866387;5
2014-03-03 23:30:00.00000072;13,5;2014-03-03 23:30:00 UTC;2014-03-03;23:30:00;UTC;-73,981000;40,780000;3,226146;2
2011-10-08 00:24:00.000000173;16,1;2011-10-08 00:24:00 UTC;2011-10-08;00:24:00;UTC;-73,988000;40,732000;3,734867;1
2015-04-18 08:29:08.0000002;11,5;2015-04-18 08:29:08 UTC;2015-04-18;08:29:08;UTC;-73,955000;40,768000;3,500630;1
2011-04-04 20:59:01.0000007;10,1;2011-04-04 20:59:01 UTC;2011-04-04;20:59:01;UTC;-73,984000;40,742000;3,062303;1
2014-08-21 10:21:17.0000003;19;2014-08-21 10:21:17 UTC;2014-08-21;10:21:17;UTC;-73,974000;40,762000;3,988627;1
2015-05-10 22:41:10.0000001;43,5;2015-05-10 22:41:10 UTC;2015-05-10;22:41:10;UTC;-73,980000;40,783000;3,742748;1
2011-11-24 01:58:25.0000001;20,5;2011-11-24 01:58:25 UTC;2011-11-24;01:58:25;UTC;-73,965000;40,758000;3,353687;1
2012-03-10 22:53:25.0000003;26,5;2012-03-10 22:53:25 UTC;2012-03-10;22:53:25;UTC;-73,776000;40,645000;4,454433;1
2011-12-05 08:38:34.0000005;20,5;2011-12-05 08:38:34 UTC;2011-12-05;08:38:34;UTC;-73,968000;40,766000;4,801114;1
2009-09-20 11:32:00.0000008;11,3;2009-09-20 11:32:00 UTC;2009-09-20;11:32:00;UTC;-73,975000;40,790000;3,705657;5
2010-03-28 22:32:44.0000003;8,9;2010-03-28 22:32:44 UTC;2010-03-28;22:32:44;UTC;-74,000000;40,729000;3,137553;3
2012-11-10 00:30:53.0000003;9,5;2012-11-10 00:30:53 UTC;2012-11-10;00:30:53;UTC;-73,995000;40,748000;3,240211;2
2015-03-14 09:23:41.0000003;17;2015-03-14 09:23:41 UTC;2015-03-14;09:23:41;UTC;-74,012000;40,705000;3,875730;6
2013-03-02 15:47:27.0000005;13,5;2013-03-02 15:47:27 UTC;2013-03-02;15:47:27;UTC;-73,982000;40,753000;3,038862;1
2010-05-21 08:35:00.0000004;13,7;2010-05-21 08:35:00 UTC;2010-05-21;08:35:00;UTC;-73,992000;40,739000;4,085635;3
2012-05-03 21:28:00.000000148;9,3;2012-05-03 21:28:00 UTC;2012-05-03;21:28:00;UTC;-73,972000;40,759000;3,264252;1
2013-09-12 11:32:00.00000059;13;2013-09-12 11:32:00 UTC;2013-09-12;11:32:00;UTC;-73,982000;40,772000;3,107020;1
2015-05-20 20:29:35.0000004;20,5;2015-05-20 20:29:35 UTC;2015-05-20;20:29:35;UTC;-74,011000;40,702000;4,732316;2
2014-01-29 22:41:00.000000131;21;2014-01-29 22:41:00 UTC;2014-01-29;22:41:00;UTC;-73,978000;40,766000;4,524875;6
2010-01-31 15:21:08.0000002;8,9;2010-01-31 15:21:08 UTC;2010-01-31;15:21:08;UTC;-73,976000;40,758000;3,320750;1
2013-12-04 18:13:00.000000173;14,5;2013-12-04 18:13:00 UTC;2013-12-04;18:13:00;UTC;-73,984000;40,748000;3,090912;1
2013-05-02 01:22:00.00000050;13;2013-05-02 01:22:00 UTC;2013-05-02;01:22:00;UTC;-73,961000;40,716000;3,947035;1
2011-11-10 00:09:07.0000003;18,5;2011-11-10 00:09:07 UTC;2011-11-10;00:09:07;UTC;-73,980000;40,744000;3,908448;1
2012-06-17 18:08:12.0000005;14,1;2012-06-17 18:08:12 UTC;2012-06-17;18:08:12;UTC;-73,957000;40,776000;3,978409;2
2010-01-16 13:58:13.0000003;25,7;2010-01-16 13:58:13 UTC;2010-01-16;13:58:13;UTC;-73,979000;40,726000;3,370396;1
2012-03-26 05:47:15.0000001;8,5;2012-03-26 05:47:15 UTC;2012-03-26;05:47:15;UTC;-73,954000;40,779000;3,747129;1
2014-09-02 00:02:00.00000046;23,5;2014-09-02 00:02:00 UTC;2014-09-02;00:02:00;UTC;-73,944000;40,702000;3,625478;2
2009-03-28 20:05:13.0000002;11;2009-03-28 20:05:13 UTC;2009-03-28;20:05:13;UTC;-73,958000;40,768000;3,737752;1
2012-09-13 11:31:00.000000131;20,5;2012-09-13 11:31:00 UTC;2012-09-13;11:31:00;UTC;-73,986000;40,751000;3,934172;1
2013-05-02 18:59:25.0000002;17;2013-05-02 18:59:25 UTC;2013-05-02;18:59:25;UTC;-74,016000;40,712000;3,846300;1
2014-03-03 19:03:42.0000005;12,5;2014-03-03 19:03:42 UTC;2014-03-03;19:03:42;UTC;-73,998000;40,734000;3,310533;1
2014-05-09 12:55:00.00000069;21,5;2014-05-09 12:55:00 UTC;2014-05-09;12:55:00;UTC;-73,965000;40,771000;4,741130;1
2011-07-10 02:08:08.0000002;10,1;2011-07-10 02:08:08 UTC;2011-07-10;02:08:08;UTC;-73,993000;40,725000;4,139488;1
2010-02-12 21:30:03.0000004;8,1;2010-02-12 21:30:03 UTC;2010-02-12;21:30:03;UTC;-73,978000;40,763000;3,840290;1
2014-02-19 12:48:00.00000053;17,5;2014-02-19 12:48:00 UTC;2014-02-19;12:48:00;UTC;-73,961000;40,762000;4,516341;1
2012-04-22 17:10:00.00000013;49,8;2012-04-22 17:10:00 UTC;2012-04-22;17:10:00;UTC;-73,954000;40,741000;4,988278;1
2013-07-21 11:22:00.00000078;10,5;2013-07-21 11:22:00 UTC;2013-07-21;11:22:00;UTC;-73,959000;40,773000;3,418119;1
2010-02-03 20:51:29.0000003;12,9;2010-02-03 20:51:29 UTC;2010-02-03;20:51:29;UTC;-73,954000;40,764000;4,345284;1
2014-05-01 14:20:00.000000142;22;2014-05-01 14:20:00 UTC;2014-05-01;14:20:00;UTC;-74,016000;40,704000;4,957384;1
