Type;FixedAcidity;VolatileAcidity;CitricAcid;ResidualSugar;Chlorides;FreeSulfurDioxide;TotalSulfurDioxide;Density;pH;Sulphates;Alcohol;Quality
r;11,2;0,28;0,56;1,9;0,075;17;60;0,998;3,16;0,58;9,8;6
r;7,9;0,32;0,51;1,8;0,341;17;56;0,9969;3,04;1,08;9,2;6
r;8,9;0,22;0,48;1,8;0,077;29;60;0,9968;3,39;0,53;9,4;6
r;6,9;0,4;0,14;2,4;0,085;21;40;0,9968;3,43;0,63;9,7;6
r;7,8;0,645;0;2;0,082;8;16;0,9964;3,38;0,59;9,8;6
r;6,9;0,685;0;2,5;0,105;22;37;0,9966;3,46;0,57;10,6;6
r;6,9;0,605;0,12;10,7;0,073;40;83;0,9993;3,45;0,52;9,4;6
r;7,8;0,645;0;5,5;0,086;5;18;0,9986;3,4;0,55;9,6;6
r;7,8;0,6;0,14;2,4;0,086;3;15;0,9975;3,42;0,6;10,8;6
r;7,5;0,49;0,2;2,6;0,332;8;14;0,9968;3,21;0,9;10,5;6
r;6,6;0,52;0,04;2,2;0,069;8;15;0,9956;3,4;0,63;9,4;6
r;6,6;0,5;0,04;2,1;0,068;6;14;0,9955;3,39;0,64;9,4;6
r;7,6;0,51;0,15;2,8;0,11;33;73;0,9955;3,17;0,63;10,2;6
r;7,3;0,39;0,31;2,4;0,074;9;46;0,9962;3,41;0,54;9,4;6
r;8;0,705;0,05;1,9;0,074;8;19;0,9962;3,34;0,95;10,5;6
r;7,7;0,63;0,08;1,9;0,076;15;27;0,9967;3,32;0,54;9,5;6
r;6,8;0,785;0;2,4;0,104;14;30;0,9966;3,52;0,55;10,7;6
r;6,3;0,3;0,48;1,8;0,069;18;61;0,9959;3,44;0,78;10,3;6
r;8,6;0,49;0,28;1,9;0,11;20;136;0,9972;2,93;1,95;9,9;6
r;8,6;0,49;0,28;1,9;0,11;20;136;0,9972;2,93;1,95;9,9;6
r;4,7;0,6;0,17;2,3;0,058;17;106;0,9932;3,85;0,6;12,9;6
r;8,1;0,545;0,18;1,9;0,08;13;35;0,9972;3,3;0,59;9;6
