Type;FixedAcidity;VolatileAcidity;CitricAcid;ResidualSugar;Chlorides;FreeSulfurDioxide;TotalSulfurDioxide;Density;pH;Sulphates;Alcohol;Quality
r;7,9;0,35;0,46;3,6;0,078;15;37;0,9973;3,35;0,86;12,8;8
r;10,3;0,32;0,45;6,4;0,073;5;13;0,9976;3,23;0,82;12,6;8
r;5,6;0,85;0,05;1,4;0,045;12;88;0,9924;3,56;0,82;12,9;8
r;12,6;0,31;0,72;2,2;0,072;6;29;0,9987;2,88;0,82;9,8;8
r;11,3;0,62;0,67;5,2;0,086;6;19;0,9988;3,22;0,69;13,4;8
r;9,4;0,3;0,56;2,8;0,08;6;17;0,9964;3,15;0,92;11,7;8
r;10,7;0,35;0,53;2,6;0,07;5;16;0,9972;3,15;0,65;11;8
r;10,7;0,35;0,53;2,6;0,07;5;16;0,9972;3,15;0,65;11;8
r;5;0,42;0,24;2;0,06;19;50;0,9917;3,72;0,74;14;8
r;7,8;0,57;0,09;2,3;0,065;34;45;0,99417;3,46;0,74;12,7;8
r;9,1;0,4;0,5;1,8;0,071;7;16;0,99462;3,21;0,69;12,5;8
r;10;0,26;0,54;1,9;0,083;42;74;0,99451;2,98;0,63;11,8;8
r;7,9;0,54;0,34;2,5;0,076;8;17;0,99235;3,2;0,72;13,1;8
r;8,6;0,42;0,39;1,8;0,068;6;12;0,99516;3,35;0,69;11,7;8
r;5,5;0,49;0,03;1,8;0,044;28;87;0,9908;3,5;0,82;14;8
r;7,2;0,33;0,33;1,7;0,061;3;13;0,996;3,23;1,1;10;8
r;7,2;0,38;0,31;2;0,056;15;29;0,99472;3,23;0,76;11,3;8
r;7,4;0,36;0,3;1,8;0,074;17;24;0,99419;3,24;0,7;11,4;8
w;6,2;0,66;0,48;1,2;0,029;29;75;0,9892;3,33;0,39;12,8;8
w;6,2;0,66;0,48;1,2;0,029;29;75;0,9892;3,33;0,39;12,8;8
w;6,8;0,26;0,42;1,7;0,049;41;122;0,993;3,47;0,48;10,5;8
w;6,7;0,23;0,31;2,1;0,046;30;96;0,9926;3,33;0,64;10,7;8
w;6,7;0,23;0,31;2,1;0,046;30;96;0,9926;3,33;0,64;10,7;8
w;5,2;0,44;0,04;1,4;0,036;43;119;0,9894;3,36;0,33;12,1;8
w;5,2;0,44;0,04;1,4;0,036;43;119;0,9894;3,36;0,33;12,1;8
w;6,8;0,53;0,35;3,8;0,034;26;109;0,9906;3,26;0,57;12,7;8
w;6,7;0,26;0,39;1,1;0,04;45;147;0,9935;3,32;0,58;9,6;8
w;7;0,24;0,36;2,8;0,034;22;112;0,99;3,19;0,38;12,6;8
w;6,1;0,31;0,58;5;0,039;36;114;0,9909;3,3;0,6;12,3;8
w;5;0,55;0,14;8,3;0,032;35;164;0,9918;3,53;0,51;12,5;8
w;6,4;0,32;0,35;4,8;0,03;34;101;0,9912;3,36;0,6;12,5;8
w;7;0,23;0,36;7,1;0,028;31;104;0,9922;3,35;0,47;12,1;8
w;6,6;0,16;0,32;1,4;0,035;49;186;0,9906;3,35;0,64;12,4;8
w;6;0,25;0,28;2,2;0,026;54;126;0,9898;3,43;0,65;12,9;8
w;5,9;0,27;0,29;11,4;0,036;31;115;0,9949;3,35;0,48;10,5;8
w;6,5;0,36;0,28;3,2;0,037;29;119;0,9908;3,25;0,65;12,4;8
w;6,2;0,24;0,29;13,3;0,039;49;130;0,9952;3,33;0,46;11;8
w;7,1;0,32;0,34;14,5;0,039;46;150;0,995;3,38;0,5;12,5;8
w;6,6;0,33;0,31;1,3;0,02;29;89;0,99035;3,26;0,44;12,4;8
w;8,1;0,17;0,44;14,1;0,053;43;145;1,0006;3,28;0,75;8,8;8
w;8,1;0,17;0,44;14,1;0,053;43;145;1,0006;3,28;0,75;8,8;8
w;6;0,18;0,31;1,4;0,036;14;75;0,99085;3,34;0,58;11,1;8
w;7,3;0,3;0,34;2,7;0,044;34;108;0,99105;3,36;0,53;12,8;8
w;7,5;0,42;0,34;4,3;0,04;34;108;0,99155;3,14;0,45;12,8;8
w;7,3;0,25;0,36;2,1;0,034;30;177;0,99085;3,25;0,4;11,9;8
w;7,3;0,25;0,36;2,1;0,034;30;177;0,99085;3,25;0,4;11,9;8
w;7,3;0,25;0,36;2,1;0,034;30;177;0,99085;3,25;0,4;11,9;8
w;7,3;0,21;0,29;1,6;0,034;29;118;0,9917;3,3;0,5;11;8
w;7,3;0,21;0,29;1,6;0,034;29;118;0,9917;3,3;0,5;11;8
w;8,1;0,27;0,35;1,7;0,03;38;103;0,99255;3,22;0,63;10,4;8
w;7,8;0,18;0,46;12,6;0,042;41;143;1;3,24;0,76;8,5;8
w;6,9;0,12;0,36;2,2;0,037;18;111;0,9919;3,41;0,82;11,9;8
w;6,9;0,21;0,28;2,4;0,056;49;159;0,9944;3,02;0,47;8,8;8
w;7,1;0,25;0,39;2,1;0,036;30;124;0,9908;3,28;0,43;12,2;8
w;7,9;0,28;0,41;2;0,044;50;152;0,9934;3,45;0,49;10,7;8
w;6,8;0,19;0,32;7,05;0,019;54;188;0,9935;3,25;0,37;11,1;8
w;5,2;0,24;0,45;3,8;0,027;21;128;0,992;3,55;0,49;11,2;8
w;7;0,24;0,32;1,3;0,037;39;123;0,992;3,17;0,42;11,2;8
w;5,3;0,24;0,33;1,3;0,033;25;97;0,9906;3,59;0,38;11;8
w;5,2;0,24;0,45;3,8;0,027;21;128;0,992;3,55;0,49;11,2;8
w;7;0,15;0,38;2,2;0,047;33;96;0,9928;3,13;0,39;10,4;8
w;6;0,26;0,42;5,2;0,027;70;178;0,9914;3,4;0,4;12,3;8
w;6,1;0,31;0,37;8,4;0,031;70;170;0,9934;3,42;0,4;11,7;8
w;6,6;0,21;0,38;2,2;0,026;40;104;0,9914;3,25;0,4;11,1;8
w;8,2;0,37;0,36;1;0,034;17;93;0,9906;3,04;0,32;11,7;8
w;7,2;0,26;0,44;7,1;0,027;25;126;0,993;3,02;0,34;11,1;8
w;8,2;0,37;0,36;1;0,034;17;93;0,9906;3,04;0,32;11,7;8
w;7,5;0,28;0,34;4,2;0,028;36;116;0,991;2,99;0,41;12,3;8
